"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YGR189C_mRNA",8288.46613021292,0.41056825254764,0.237305128297131,1.73012802333359,0.0836074044395458,0.48348565520625
"YHR152W_mRNA",498.289965354099,0.18011766686789,0.385392189571846,0.467362006137158,0.640240900680882,0.924889488892988
"YPL283C_mRNA",1406.58038188943,0.159776641083174,0.411278686122574,0.388487530412785,0.697655280174424,0.932719927554676
"YJR118C_mRNA",1.7994704825121,0.236138799423496,4.70307615992365,0.0502094355680878,0.959955492543325,NA
"YLR130C_mRNA",737.140238859581,0.225501721230671,0.353377622826035,0.638132430195457,0.523387477511395,0.877908799560786
"YDR184C_mRNA",4.94922888479532,0.360321066308648,3.02995139986723,0.118919751097142,0.905338933687361,NA
"YPL268W_mRNA",48.5454838647543,-0.109268437138026,1.25918475548283,-0.0867771283461315,0.930848667966182,0.983429540827345
"YGR185C_mRNA",4476.43702521548,-0.278568536385626,0.238751189992237,-1.1667733944894,0.243301894073347,0.711423439982023
"YOR016C_mRNA",55.1079265293663,-1.14407638364607,1.43115999197572,-0.799404951270801,0.424055640400005,0.834086400831373
"YHL019W-A_mRNA",10.5415963609362,-1.2837820823296,2.68862817345319,-0.477485914566145,0.633016148534148,NA
"YHR039C_mRNA",2815.89124098141,-0.330530434789775,0.243935492299272,-1.35499115636795,0.175420374669372,0.639475199698906
"YPL021W_mRNA",1.6618685690086,-4.74318287193013,4.83371310656719,-0.981271078228854,0.326459081101846,NA
"YNL047C_mRNA",315.947403871751,0.0114409666524585,0.499391833148354,0.0229097992658997,0.981722223764226,0.994304563505083
"YDR122W_mRNA",1499.24745657294,-0.0219185922653081,0.267553699363398,-0.0819222171753186,0.934708567068146,0.985616620156402
"YGR169C-A_mRNA",128.157196110116,0.0466403827803996,0.742886720836333,0.0627826308806441,0.949939597129416,0.987751100409988
"YBR235W_mRNA",183.66836522337,1.05162085393137,0.701744005432467,1.49858188426317,0.13398213527277,0.584687885042904
"YHR114W_mRNA",246.085940249876,0.946313973531911,0.532609645926031,1.77674959657666,0.0756094481412121,0.465891512236829
"YLR306W_mRNA",23.4253056400174,1.10061152589218,2.03485620450457,0.540879263829925,0.588590804447034,0.908018399282469
"YDR054C_mRNA",843.888671811093,0.374997323660536,0.337137701111375,1.11229720800835,0.266010383932164,0.737941804063387
"YOR138C_mRNA",672.395612301565,0.926231383795628,0.361767662401752,2.56029347025226,0.0104583805479382,0.174076126541625
"YLR351C_mRNA",893.721556366392,-0.353677808492996,0.344049917999199,-1.02798399299087,0.303957357363155,0.76560217682547
"YKR077W_mRNA",199.901795705587,-0.865264021795986,0.784611370675134,-1.10279312043548,0.270117016359479,0.740225771560177
"YMR032W_mRNA",444.892815661535,0.356358315288858,0.399801603680918,0.891337883610062,0.37274793078292,0.802993405630441
"YMR228W_mRNA",61.2195223447516,0.588546285931442,1.08364413402758,0.543117678073883,0.587048781714888,0.906550279883348
"YLR242C_mRNA",17.0742619416264,-0.926919668340112,1.91977809980691,-0.482826462304857,0.629218959858224,0.9212718693336
"YJR123W_mRNA",71249.6036860036,-0.457328215479189,0.188474750522447,-2.42646940352216,0.0152465358643203,0.214491062566066
"YOL068C_mRNA",213.685377627126,0.191124169612792,0.710467056217812,0.269012008284024,0.787920441914431,0.953315063010595
"YNL282W_mRNA",120.763552600055,0.0771371509047882,0.74599845800232,0.103401220307279,0.917644543674346,0.979476432073677
"YMR146C_mRNA",4430.42904010628,-0.101285010504347,0.21740294803532,-0.465886095012345,0.64129703469537,0.925476238162981
"YCR084C_mRNA",5030.26866809283,0.0658010100347823,0.255811227450816,0.257224871208726,0.797005185349911,0.955284036025855
"YLR428C_mRNA",0,NA,NA,NA,NA,NA
"YNL096C_mRNA",3885.94971631875,0.142967725476165,0.233642055860876,0.61190920850866,0.540597828731494,0.886622952206955
"YMR251W-A_mRNA",114.471078422222,-0.280682967237965,0.73324914965085,-0.382793443908687,0.701872922939664,0.934594628539611
"YBR046C_mRNA",36.0566977243487,0.480281637926956,1.23443448257822,0.389070173188818,0.697224236937819,0.932719927554676
"YER059W_mRNA",157.391905131026,0.109591580407183,0.676709491665692,0.161947751223982,0.871346999072678,0.969401182705409
"YIR017W-A_mRNA",0.349108600398287,1.34477512520311,4.88861178590533,0.275083231006462,0.783252294501993,NA
"YLR265C_mRNA",7.09967481813844,-0.489450617868491,3.10545176688506,-0.157610117499728,0.874764030614944,NA
"YJL046W_mRNA",14.0447884092658,0.644482075709222,2.52135310292814,0.255609606984742,0.798252299490943,0.955284036025855
"YEL061C_mRNA",331.079778358671,-0.396332865575089,0.453640450260029,-0.873671793042064,0.38229701628738,0.810990941706351
"YOR165W_mRNA",390.832724951333,0.0732309993844596,0.541110423327689,0.135334667800535,0.892347276266343,0.974055296613271
"YIL148W_mRNA",5564.86474709185,-0.51538194079724,0.22390423669413,-2.30179628758562,0.0213466630194781,0.255731094412867
"YOR011W-A_mRNA",0,NA,NA,NA,NA,NA
"YAL041W_mRNA",689.855293026806,0.494990950027222,0.338001564433827,1.46446348807989,0.143067352206201,0.596327330851899
"YDR424C_mRNA",402.538173274262,0.430593621517288,0.420982182730148,1.02283098710926,0.306387764172771,0.765976807092292
"YDR194C_mRNA",186.723402754654,0.236275417045513,1.10142070251013,0.214518772442757,0.830142529393383,0.963035785417707
"YGR239C_mRNA",291.445856344381,-1.18393906298534,0.577392121405734,-2.05049396951051,0.0403162516724179,0.360462702875182
"YBR108W_mRNA",924.746907581242,-0.863633981497228,0.319245537326193,-2.70523431190457,0.00682562251899736,0.140575953280362
"YAL044W-A_mRNA",337.678160571273,-0.36121798239025,0.533443693182686,-0.677143599233716,0.498314848531181,0.870831559064152
"YOL023W_mRNA",79.3900099996333,-0.332392370070057,0.938012523392921,-0.354358136784515,0.723070503680539,0.943308803213029
"YBR076C-A_mRNA",83.6466872398267,0.274866735981787,0.889254162232558,0.309098059537565,0.757246935227337,0.952022758663538
"YPL046C_mRNA",53.1835846736587,1.09492313714167,1.08541519975938,1.00875972382217,0.313089881268083,0.770067259085485
"YDR141C_mRNA",140.921083416602,-0.0739560771311275,0.699190511174086,-0.10577385698061,0.915761779512452,0.979476432073677
"YDR288W_mRNA",14.1038386228095,0.647268205597468,2.05981123437254,0.314236661494196,0.753341300033253,0.952022758663538
"YBR194W_mRNA",58.6702659394165,-0.884712328387354,1.36483513803662,-0.648219190531724,0.516843191486094,0.875531953800034
"YGR201C_mRNA",213.441692659754,-0.269022118506812,0.54317799426512,-0.495274332441945,0.620406486679033,0.916574672625813
"YCR090C_mRNA",3.59894096502421,0.228847392739162,4.63292943830197,0.0493958295257433,0.960603851663163,NA
"YLR461W_mRNA",13.2359172549086,-1.86219610307108,2.49509108429217,-0.746343937018782,0.455459676367383,0.853060179409964
"YER190C-B_mRNA",27.0746278109056,-1.15659886608743,2.49732011581302,-0.463136006779368,0.643266882213729,0.926227314351814
"YOL108C_mRNA",65.4791909466173,-0.2385498397139,0.939333839881566,-0.253956399296737,0.799529242319013,0.955284036025855
"YJR148W_mRNA",2996.80866189458,0.0334534707180274,0.327593454939767,0.102118861697583,0.918662329809468,0.979476432073677
"YJL123C_mRNA",520.535318238716,-0.148389476927642,0.404734054267686,-0.3666345229984,0.713891653178994,0.937666526090683
"YHR218W_mRNA",499.307255518648,-0.901398220665632,0.670533561284258,-1.34429993174272,0.178851417644006,0.645743897400903
"YMR247C_mRNA",146.08174190895,-0.113186587709215,0.685261115160447,-0.165172932193466,0.868807869597207,0.968305538802501
